TEST,ANSWER,TIME
local_tests/generated\197.txt,10,0.13299560546875
local_tests/generated\198.txt,-1,0.17267560958862305
local_tests/generated\199.txt,10,0.12200212478637695
local_tests/generated\200.txt,14,0.11107206344604492
local_tests/generated\201.txt,11,0.11600661277770996
local_tests/generated\202.txt,-1,0.11600041389465332
local_tests/generated\203.txt,8,0.11700630187988281
local_tests/generated\204.txt,8,0.11717653274536133
local_tests/generated\205.txt,5,0.13586091995239258
local_tests/generated\206.txt,-1,0.10122084617614746
local_tests/generated\207.txt,6,0.0965733528137207
local_tests/generated\208.txt,13,0.10064196586608887
local_tests/generated\209.txt,8,0.139265775680542
local_tests/generated\210.txt,14,0.08876204490661621
local_tests/generated\211.txt,10,0.11499238014221191
local_tests/generated\212.txt,8,0.14798998832702637
local_tests/generated\213.txt,12,0.10999822616577148
local_tests/generated\214.txt,12,0.11954188346862793
local_tests/generated\215.txt,9,0.102996826171875
local_tests/generated\216.txt,15,0.11900591850280762
local_tests/generated\217.txt,4,0.10099387168884277
local_tests/generated\218.txt,10,0.12399744987487793
local_tests/generated\219.txt,15,0.11755514144897461
local_tests/generated\220.txt,4,0.10399293899536133
local_tests/generated\221.txt,10,0.10625314712524414
local_tests/generated\222.txt,13,0.12099337577819824
local_tests/generated\223.txt,5,0.10299372673034668
local_tests/generated\224.txt,11,0.11178779602050781
local_tests/generated\225.txt,7,0.11598610877990723
local_tests/generated\226.txt,5,0.12384653091430664
local_tests/generated\227.txt,13,0.12200284004211426
local_tests/generated\228.txt,8,0.09985160827636719
local_tests/generated\229.txt,9,0.09898924827575684
local_tests/generated\230.txt,3,0.12099003791809082
local_tests/generated\231.txt,14,0.12999820709228516
local_tests/generated\232.txt,7,0.10788297653198242
local_tests/generated\233.txt,9,0.1269972324371338
local_tests/generated\234.txt,11,0.21559667587280273
local_tests/generated\235.txt,7,0.1337127685546875
local_tests/generated\236.txt,8,0.11199164390563965
local_tests/generated\237.txt,-1,0.12470293045043945
local_tests/generated\238.txt,13,0.10799503326416016
local_tests/generated\239.txt,-1,0.11000204086303711
local_tests/generated\240.txt,10,0.13499879837036133
local_tests/generated\241.txt,13,0.13740968704223633
local_tests/generated\242.txt,3,0.1364433765411377
local_tests/generated\243.txt,23,0.12699365615844727
local_tests/generated\244.txt,8,0.13588857650756836
local_tests/generated\245.txt,15,0.1309959888458252
local_tests/generated\246.txt,5,0.11587285995483398
local_tests/generated\247.txt,-1,0.14722013473510742
local_tests/generated\248.txt,-1,0.10795068740844727
local_tests/generated\249.txt,1,0.13395142555236816
local_tests/generated\250.txt,11,0.1092977523803711
local_tests/generated\251.txt,5,0.11999630928039551
local_tests/generated\252.txt,12,0.10855984687805176
local_tests/generated\253.txt,2,0.12197995185852051
local_tests/generated\254.txt,4,0.11261200904846191
local_tests/generated\255.txt,14,0.130995512008667
local_tests/generated\256.txt,7,0.14199304580688477
local_tests/generated\257.txt,8,0.138993501663208
local_tests/generated\258.txt,8,0.12699389457702637
local_tests/generated\259.txt,8,0.12070226669311523
local_tests/generated\260.txt,13,0.11890792846679688
local_tests/generated\261.txt,6,0.14088129997253418
local_tests/generated\262.txt,2,0.12286376953125
local_tests/generated\263.txt,11,0.1179957389831543
local_tests/generated\264.txt,8,0.15886282920837402
local_tests/generated\265.txt,17,0.12600231170654297
local_tests/generated\266.txt,12,0.13063693046569824
local_tests/generated\267.txt,5,0.10700201988220215
